,clean_title,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,title,studio,domestic_grossbom,foreign_grossbom,year,worldwide_grossbom,Sport,Crime,News,Romance,Sci-Fi,Western,Horror,Drama,Family,nan,Mystery,Musical,Fantasy,Adventure,Documentary,Thriller,Comedy,Reality-TV,Music,History,Action,Animation,averagerating,numvotes,release_date_CH,movie_CH,production_budget_CH,domestic_gross_CH,worldwide_gross_CH,international_gross,genre_ids
996,before i go to sleep,tt1726592,Before I Go to Sleep,Before I Go to Sleep,2014,92.0,"Drama,Horror,Mystery",49,2014-10-31,Before I Go to Sleep,22000000,3242457,19563579,16321122,Before I Go To Sleep,CE,3200000.0,12200000.0,2014.0,15400000.0,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.3,64684.0,"Oct 31, 2014",Before I Go to Sleep,22.0,3.0,19.0,16.0,"[mystery, thriller]"
997,killer joe,tt1726669,Killer Joe,Killer Joe,2011,102.0,"Crime,Drama,Thriller",90,2012-07-27,Killer Joe,10000000,1291645,4659110,3367465,Killer Joe,LD,2000000.0,1700000.0,2012.0,3700000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,6.7,67842.0,"Jul 27, 2012",Killer Joe,10.0,1.0,4.0,3.0,"[crime, drama, thriller]"
998,fathers day,tt1727261,Father's Day,Father's Day,2011,99.0,"Action,Comedy,Horror",24,1997-05-09,Father's Day,85000000,28681080,35681080,7000000,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,6.0,2482.0,,,,,,,
999,the way way back,tt1727388,The Way Way Back,The Way Way Back,2013,103.0,"Comedy,Drama",83,2013-07-05,The Way Way Back,5000000,21502690,26853810,5351120,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,7.4,132642.0,"Jul 5, 2013",The Way Way Back,5.0,21.0,26.0,5.0,"[comedy, drama]"
1000,control,tt1727497,Control,Het Tweede Gelaat,2017,127.0,"Action,Crime,Drama",7,2007-10-10,Control,6400000,871577,8902141,8030564,,,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6.4,866.0,,,,,,,
1001,scouts guide to the zombie apocalypse,tt1727776,Scouts Guide to the Zombie Apocalypse,Scouts Guide to the Zombie Apocalypse,2015,93.0,"Action,Comedy,Horror",25,2015-10-30,Scouts Guide to the Zombie Apocalypse,15000000,3703046,15554855,11851809,Scouts Guide to the Zombie Apocalypse,Par.,3700000.0,12400000.0,2015.0,16100000.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,6.3,40479.0,"Oct 30, 2015",Scouts Guide to the Zombie Apocalypse,15.0,3.0,15.0,12.0,"[comedy, horror]"
1002,screwed,tt1727816,Screwed,Screwed,2011,110.0,"Crime,Drama",11,2000-05-12,Screwed,12000000,6982680,6982680,0,,,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.7,1900.0,,,,,,,
1003,bohemian rhapsody,tt1727824,Bohemian Rhapsody,Bohemian Rhapsody,2018,134.0,"Biography,Drama,Music",84,2018-11-02,Bohemian Rhapsody,55000000,216303339,894985342,678682003,Bohemian Rhapsody,Fox,216400000.0,687200000.0,2018.0,903600000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,8.0,345466.0,"Nov 2, 2018",Bohemian Rhapsody,55.0,216.0,894.0,678.0,"[drama, music]"
1004,the box,tt1728200,The Box,The Box,2011,89.0,Drama,66,2009-11-06,The Box,25000000,15051977,34356760,19304783,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.3,51.0,,,,,,,
1005,the family,tt1728973,The Family,The Family,2011,88.0,"Horror,Thriller",22,2013-09-13,The Family,30000000,36918811,51078541,14159730,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5.0,833.0,,,,,,,
1006,darling companion,tt1730687,Darling Companion,Darling Companion,2012,103.0,"Comedy,Drama,Romance",34,2012-04-20,Darling Companion,12000000,793352,1200346,406994,Darling Companion,SPC,794000.0,,2012.0,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5.1,3085.0,,,,,,,
1007,supernova,tt1730764,Supernova,Supernova,2014,90.0,Drama,41,2000-01-14,Supernova,60000000,14218868,14816494,597626,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.7,233.0,,,,,,,
1008,enders game,tt1731141,Ender's Game,Ender's Game,2013,114.0,"Action,Adventure,Fantasy",36,2013-11-01,Ender's Game,110000000,61737191,127983283,66246092,Ender's Game,LG/S,61700000.0,63800000.0,2013.0,125500000.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,6.6,211722.0,,,,,,,
1009,the lords of salem,tt1731697,The Lords of Salem,The Lords of Salem,2012,101.0,"Horror,Thriller",84,2013-04-19,The Lords of Salem,1500000,1165881,1541131,375250,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5.1,25089.0,,,,,,,
1010,silence,tt1731755,Silence,Hiljaisuus,2011,110.0,"Drama,War",42,2016-12-23,Silence,46500000,7100177,23726626,16626449,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.7,373.0,,,,,,,
1011,50/50,tt1734060,50/50,50/50,2010,77.0,Documentary,73,2011-09-30,50/50,8000000,35016118,41334735,6318617,50/50,Sum.,35000000.0,4200000.0,2011.0,39200000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7.5,11.0,"Sep 30, 2011",50/50,8.0,35.0,41.0,6.0,"[comedy, drama]"
1012,eden,tt1734433,Eden,Eden,2012,98.0,"Crime,Drama",66,2016-01-19,Eden,2300000,0,0,0,Eden,BG,65500.0,,2015.0,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.7,7709.0,,,,,,,
1013,wonderland,tt1735233,Wonderland,VIViD,2011,80.0,"Fantasy,Horror,Sci-Fi",26,2003-10-03,Wonderland,5500000,1060512,1060512,0,,,,,,,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5.0,159.0,,,,,,,
1014,snow white and the huntsman,tt1735898,Snow White and the Huntsman,Snow White and the Huntsman,2012,127.0,"Action,Adventure,Drama",19,2012-06-01,Snow White and the Huntsman,170000000,155136755,401021746,245884991,Snow White and the Huntsman,Uni.,155300000.0,241300000.0,2012.0,396600000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,6.1,258938.0,"Jun 1, 2012",Snow White and the Huntsman,170.0,155.0,401.0,246.0,"[adventure, fantasy, drama]"
1015,last man standing,tt1736017,Last Man Standing,Last Man Standing,2010,85.0,"Biography,Crime,Documentary",66,1996-09-20,Last Man Standing,67000000,18115927,18115927,0,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5.2,22.0,,,,,,,
1016,the island,tt1737256,The Island,The Island,2011,95.0,"Drama,Romance",100,2005-07-22,The Island,120000000,35818913,163018913,127200000,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.1,705.0,,,,,,,
1017,the island,tt1737256,The Island,The Island,2011,95.0,"Drama,Romance",35,1980-06-13,The Island,22000000,15716828,15716828,0,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.1,705.0,,,,,,,
1018,wanted,tt1737267,Wanted,Wanted,2010,110.0,Action,37,2008-06-27,Wanted,75000000,134508551,342416460,207907909,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,6.3,271.0,,,,,,,
1019,open secret,tt1739304,Open Secret,Open Secret,2011,55.0,Documentary,97,2015-03-25,Open Secret,100000,0,0,0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.5,39.0,,,,,,,
1020,payback,tt1740017,Payback,Payback,2010,115.0,"Action,Crime,Drama",10,1999-02-05,Payback,50000000,81526121,161626121,80100000,,,,,,,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5.5,58.0,"Feb 5, 1999",Payback,50.0,81.0,161.0,80.0,[documentary]
1021,the man,tt1740683,The Man,Mesteren,2017,94.0,Drama,54,2005-09-09,The Man,20000000,8330720,10393696,2062976,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.3,513.0,,,,,,,
1022,secret in their eyes,tt1741273,Secret in Their Eyes,Secret in Their Eyes,2015,111.0,"Crime,Drama,Mystery",94,2015-11-20,Secret in Their Eyes,20000000,20180155,32608019,12427864,,,,,,,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,6.3,37455.0,,,,,,,
1023,jersey boys,tt1742044,Jersey Boys,Jersey Boys,2014,134.0,"Biography,Drama,Music",43,2014-06-20,Jersey Boys,40000000,47047013,65282732,18235719,Jersey Boys,WB,47000000.0,20600000.0,2014.0,67600000.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.8,30410.0,"Jun 20, 2014",Jersey Boys,40.0,47.0,65.0,18.0,"[music, drama]"
