,movie_CH,production_budget_CH,domestic_gross_CH,worldwide_gross_CH,international_gross,release_date,runtime_minutes,studio,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,Western
1986,Locke,2.0,1.0,2.0,1.0,4/25/2014,85.0,A24,Drama,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1992,The Boss,29.0,63.0,78.0,15.0,4/8/2016,99.0,Uni.,Comedy,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1995,Game Night,37.0,69.0,117.0,48.0,2/23/2018,100.0,WB (NL),"Action,Comedy,Crime",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1997,The Secret Life of Pets,75.0,368.0,886.0,518.0,7/8/2016,87.0,Uni.,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2000,Blackhat,70.0,8.0,19.0,11.0,1/16/2015,133.0,Uni.,"Action,Crime,Thriller",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2001,Ida,2.0,3.0,15.0,12.0,5/2/2014,82.0,MBox,Drama,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2006,The Longest Ride,34.0,37.0,63.0,26.0,4/10/2015,123.0,Fox,"Drama,Romance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2012,Sinister 2,10.0,27.0,54.0,27.0,8/21/2015,97.0,Focus,"Horror,Mystery,Thriller",False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2027,Top Five,12.0,25.0,26.0,1.0,12/12/2014,102.0,Par.,"Comedy,Romance",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2041,Furious 7,190.0,353.0,1518.0,1165.0,4/3/2015,137.0,Uni.,"Action,Crime,Thriller",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2047,Rock Dog,60.0,9.0,24.0,15.0,2/24/2017,90.0,LG/S,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2048,Mike and Dave Need Wedding Dates,33.0,46.0,75.0,29.0,7/8/2016,98.0,Fox,"Adventure,Comedy,Romance",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2050,A Haunted House 2,4.0,17.0,21.0,4.0,4/18/2014,86.0,ORF,"Comedy,Fantasy",False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2055,Pitch Perfect 2,29.0,184.0,287.0,103.0,5/15/2015,115.0,Uni.,"Comedy,Music",False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2062,Ride Along 2,40.0,90.0,124.0,34.0,1/15/2016,102.0,Uni.,"Action,Comedy,Crime",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2064,Wish I Was Here,6.0,3.0,6.0,3.0,7/18/2014,106.0,Focus,"Comedy,Drama",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2065,Nightcrawler,8.0,32.0,50.0,18.0,10/31/2014,117.0,ORF,"Crime,Drama,Thriller",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2068,Red Sparrow,69.0,46.0,145.0,99.0,3/2/2018,140.0,Fox,"Action,Drama,Thriller",True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2080,John Wick,30.0,43.0,76.0,33.0,10/24/2014,101.0,LG/S,"Action,Crime,Thriller",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2098,The Transporter Refueled,22.0,16.0,69.0,53.0,9/4/2015,96.0,EC,"Action,Adventure,Crime",True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2103,Zootopia,150.0,341.0,1019.0,678.0,3/4/2016,108.0,BV,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2115,Hot Pursuit,35.0,34.0,45.0,11.0,5/8/2015,87.0,WB (NL),"Action,Comedy,Crime",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2117,Alvin and the Chipmunks: The Road Chip,90.0,85.0,249.0,164.0,12/18/2015,92.0,Fox,"Adventure,Animation,Comedy",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2118,The Purge: Anarchy,9.0,71.0,111.0,40.0,7/18/2014,103.0,Uni.,"Action,Horror,Sci-Fi",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2119,Batman v Superman: Dawn of Justice,250.0,330.0,867.0,537.0,3/25/2016,151.0,WB,"Action,Adventure,Fantasy",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2120,Dolphin Tale 2,36.0,42.0,57.0,15.0,9/12/2014,107.0,WB,"Drama,Family",False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2121,A Hologram for the King,35.0,4.0,11.0,7.0,4/22/2016,98.0,RAtt.,"Comedy,Drama,Romance",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2122,The Theory of Everything,15.0,35.0,123.0,88.0,11/7/2014,123.0,Focus,"Biography,Drama,Romance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2123,The Hundred-Foot Journey,22.0,54.0,94.0,40.0,8/8/2014,122.0,BV,"Comedy,Drama",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2131,The Water Diviner,22.0,4.0,31.0,27.0,4/24/2015,111.0,WB,"Drama,History,War",False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2135,The Lego Ninjago Movie,70.0,59.0,122.0,63.0,9/22/2017,101.0,WB,"Action,Adventure,Animation",True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2147,Mortdecai,60.0,7.0,30.0,23.0,1/23/2015,107.0,LGF,"Action,Comedy,Crime",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2153,Hardcore Henry,2.0,9.0,17.0,8.0,4/8/2016,96.0,STX,"Action,Adventure,Sci-Fi",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2157,Suffragette,14.0,4.0,34.0,30.0,10/23/2015,106.0,Focus,"Biography,Drama,History",False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2162,Monster Trucks,125.0,33.0,61.0,28.0,1/13/2017,104.0,Par.,"Action,Adventure,Comedy",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2170,Crazy Rich Asians,30.0,174.0,238.0,64.0,8/15/2018,120.0,WB,"Comedy,Romance",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2177,Now You See Me 2,90.0,65.0,328.0,263.0,6/10/2016,129.0,LG/S,"Action,Adventure,Comedy",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2198,Trainwreck,35.0,110.0,141.0,31.0,7/17/2015,125.0,Uni.,"Comedy,Drama,Romance",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2205,The Diary of a Teenage Girl,2.0,1.0,2.0,1.0,8/7/2015,102.0,SPC,"Comedy,Drama,Romance",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2224,Incarnate,5.0,4.0,9.0,5.0,12/2/2016,91.0,BH Tilt,"Horror,Thriller",False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2240,Sully,60.0,125.0,238.0,113.0,9/9/2016,96.0,WB,"Biography,Drama",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2258,Welcome to Marwen,45.0,10.0,12.0,2.0,12/21/2018,116.0,Uni.,"Biography,Comedy,Drama",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2263,London Has Fallen,60.0,62.0,195.0,133.0,3/4/2016,99.0,Focus,"Action,Thriller",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2274,American Ultra,28.0,14.0,30.0,16.0,8/21/2015,96.0,LGF,"Action,Comedy,Sci-Fi",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2275,Still Alice,5.0,18.0,41.0,23.0,1/16/2015,101.0,SPC,Drama,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2279,Annabelle,6.0,84.0,256.0,172.0,10/3/2014,99.0,WB (NL),"Horror,Mystery,Thriller",False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2281,Pan,150.0,35.0,151.0,116.0,10/9/2015,111.0,WB,"Adventure,Comedy,Family",False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2287,Jigsaw,10.0,38.0,102.0,64.0,10/27/2017,92.0,LGF,"Crime,Horror,Mystery",False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2290,Compadres,3.0,3.0,7.0,4.0,4/22/2016,101.0,PNT,"Action,Comedy,Crime",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2292,Transformers: The Last Knight,217.0,130.0,602.0,472.0,6/21/2017,154.0,Par.,"Action,Adventure,Sci-Fi",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
